#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Observation Type, Mission, Provenance Name, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Calibration Level, Start Time, Exposure Length, Release Date, Proposal Type, Distance (")
#@string, string, string, string, string, string, string, string, string, string, ra, dec, int, float, float, float, string, float
intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,calib_level,t_min,t_exptime,t_obs_release,proposal_type,distance
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219112871,,tess2022085151738-s0050-0000000219112871-0222-s,271.856847607383,69.5206624175263,3,59664.7699472685,120,59710,,422.582964407658
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219112871,,tess2022112184951-s0051-0000000219112871-0223-s,271.856847607383,69.5206624175263,3,59692.4545308796,120,59758,,422.582964407658
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219112871,,tess2022138205153-s0052-0000000219112871-0224-s,271.856847607383,69.5206624175263,3,59718.1336080787,120,59778,,422.582964407658
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219112871,,tess2022164095748-s0053-0000000219112871-0226-s,271.856847607383,69.5206624175263,3,59743.4946896759,120,59786,,422.582964407658
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219112871,,tess2022190063128-s0054-0000000219112871-0227-s,271.856847607383,69.5206624175263,3,59769.3974994444,120,59828,,422.582964407658
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219112871,,tess2022217014003-s0055-0000000219112871-0242-s,271.856847607383,69.5206624175263,3,59796.5989687269,120,59841,,422.582964407658
science,TESS,SPOC,Photometer,TESS,TESS,Optical,219114557,,tess2022112184951-s0051-0000000219114557-0223-s,272.09780175771,69.6511666562862,3,59692.4545167477,120,59758,,693.068043647946
science,JWST,CALJWST,NIRSPEC,JWST,F170LP,Infrared,TYC 4433-1800-1,,jw01128-o004_s00003_nirspec_f170lp-g235h-s1600a1-allslits,272.14476375,69.4579805555556,3,59745.0172302796,1384.734,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F290LP,Infrared,TYC 4433-1800-1,,jw01128-o004_s00003_nirspec_f290lp-g395h-s1600a1-allslits,272.14476375,69.4579805555556,3,59745.0172302796,3230.718,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F070LP,Infrared,TYC 4433-1800-1,,jw01128-o004_s00004_nirspec_f070lp-g140m-s1600a1-allslits,272.14476375,69.4579805555556,3,59745.0172302796,197.907,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F100LP,Infrared,TYC 4433-1800-1,,jw01128-o004_s00004_nirspec_f100lp-g140m-s1600a1-allslits,272.14476375,69.4579805555556,3,59745.0172302796,197.907,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F070LP,Infrared,TYC 4433-1800-1,,jw01128-o004_s00005_nirspec_f070lp-g140h-s1600a1-allslits,272.14476375,69.4579805555556,3,59745.0172302796,461.619,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F100LP,Infrared,TYC 4433-1800-1,,jw01128-o004_s00005_nirspec_f100lp-g140h-s1600a1-allslits,272.14476375,69.4579805555556,3,59745.0172302796,461.619,59774.8541666,COM,0
science,JWST,CALJWST,NIRSPEC,JWST,F170LP,Infrared,TYC 4433-1800-1,,jw01128-o004_s00005_nirspec_f170lp-g235h-s1600a1-allslits,272.14476375,69.4579805555556,3,59745.0172302796,692.367,59774.8541666,COM,0
