#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Observation Type, Mission, Provenance Name, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Calibration Level, Start Time, Exposure Length, Release Date, Proposal Type, Distance (")
#@string, string, string, string, string, string, string, string, string, string, ra, dec, int, float, float, float, string, float
intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,calib_level,t_min,t_exptime,t_obs_release,proposal_type,distance
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2010203012215_24,292.466048952414,41.2183353674038,1,55399.03668604,1765.459584,NaN,Kepler,0
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2010234192745_24,292.466011393172,41.2184126910009,1,55430.79050564,1765.459584,NaN,Kepler,0
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2010265195356_24,292.465978018723,41.2184867147768,1,55461.80869384,1765.459584,NaN,Kepler,0
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2010326181728_40,292.469291197728,41.2152693129565,1,55522.74170174,1765.459584,NaN,Kepler,0
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2011024134926_64,292.474559746806,41.2161506022197,1,55585.55556804,1765.459584,NaN,Kepler,0
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2011053174401_64,292.474611216407,41.2160773366891,1,55614.71846884,1765.459584,NaN,Kepler,0
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2011116104002_48,292.470863294063,41.2207654174546,1,55677.42404264,1765.459584,NaN,Kepler,0
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2011145152723_48,292.470843853255,41.2207855319536,1,55706.62358874,1765.459584,NaN,Kepler,0
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2011177110110_48,292.470806002374,41.2208521673885,1,55738.43871074,1765.459584,NaN,Kepler,0
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2011208112727_24,292.466055900731,41.2183352922522,1,55769.45696544,1765.459584,NaN,Kepler,0
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2011240181752_24,292.466015552987,41.2184136849624,1,55801.74198404,1765.459584,NaN,Kepler,0
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2011271191331_24,292.465980542592,41.2184878634057,1,55832.78062804,1765.459584,NaN,Kepler,0
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2011303191211_40,292.469254325124,41.2152996006673,1,55864.77969804,1765.459584,NaN,Kepler,0
science,KeplerFFI,Kepler,Kepler,Kepler,KEPLER,OPTICAL,,,kplr2011334181008_40,292.469289247787,41.2152731869538,1,55895.73660944,1765.459584,NaN,Kepler,0
