#Observation Type, Mission, Provenance Name, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Calibration Level, Start Time, Exposure Length, Release Date, Proposal Type," Distance ("")"
intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,calib_level,t_min,t_exptime,t_obs_release,proposal_type,distance
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,PROXIMACEN,,90215017,217.3798368,-62.72341446,2,55216.71997,1828.611624,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,PROXIMACEN,,90215019,217.4370893,-62.63738958,2,55235.33581,1714.985076,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,PROXIMACEN,,90215020,217.3982146,-62.69028849,2,55259.56538,1842.434512,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,PROXIMACEN,,90215021,217.3997238,-62.64367889,2,55279.24282,1854.22363,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,PROXIMACEN,,90215022,217.443138,-62.6632283,2,55295.3614,2958.10902,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,PROXIMACEN,,91488001,217.3467591,-62.66758354,2,56035.28991,2031.340462,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,PROXIMACEN,,91488002,217.3345459,-62.66371549,2,56188.46248,1587.316775,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,PROXIMACEN,,91488003,217.280061,-62.7172527,2,56341.81934,2656.177342,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,PROXIMACEN,,93156003,217.3319734,-62.68907217,2,57999.30409,1568.055465,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,PROXIMACEN,,93156004,217.2999936,-62.67345192,2,58007.26459,2443.445303,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,PROXIMACEN,,93156005,217.3282454,-62.6888467,2,58015.03674,1768.640682,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,PROXIMACEN,,93156006,217.3112444,-62.68296351,2,58032.45824,1661.706848,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,PROXIMACEN,,93156007,217.3986667,-62.71976775,2,58037.51068,1154.078512,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,PROXIMACEN,,93156008,217.4715329,-62.71044972,2,58039.09934,2125.913352,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,PROXIMACEN,,93156009,217.3916465,-62.69464496,2,58047.19741,2067.978191,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,PROXIMACEN,,93156011,217.3759956,-62.70197288,2,58058.14692,729.6787544,NaN,,0
science,SWIFT,,UVOT,,UVW1,UV;OPTICAL,PROXIMACEN,,93156012,217.4254515,-62.72272768,2,58062.00666,1695.603485,NaN,,0
science,SPITZER_SHA,SSC Pipeline,IRAC,,IRAC4,Infrared,GL0551,,0000003BAF00,217.428958,-62.6795,3,53054.25879,26.8,53579.03581,,0
science,SPITZER_SHA,SSC Pipeline,IRAC,,IRAC1,Infrared,GL0551,,0000003BAF00,217.428958,-62.6795,3,53054.25879,26.8,53579.03581,,0
science,SPITZER_SHA,SSC Pipeline,IRAC,,IRAC2,Infrared,GL0551,,0000003BAF00,217.428958,-62.6795,3,53054.25879,26.8,53579.03581,,0
science,SPITZER_SHA,SSC Pipeline,IRAC,,IRAC3,Infrared,GL0551,,0000003BAF00,217.428958,-62.6795,3,53054.25879,26.8,53579.03581,,0
science,SPITZER_SHA,SSC Pipeline,MIPS,,MIPS70,Infrared,Proxima Cen,,400600,217.428958,-62.679472,3,53469.92462,10.49,53857.76819,,0
